task_id,arrival_time,category,latency,start_time,wait_time,service_time,response_time,accepted,end_time,deadline,status,task_microservices,completed_microservices
28,2370,1,211.0371331932,2444.975221472,74.97522147200016,1.1793349589581696,76.50452523095873,True,2446.5045252309587,2510,completed,"[80, 81, 82]","{80, 81, 82}"
29,2460,2,0,,0,0,,False,2584.3134178972273,2613,rejected,"[83, 84, 85, 86, 87]","{83, 84, 85, 87}"
30,2610,3,66.512465241736,2670.52837125704,60.52837125703991,1.2083415995172415,61.736712856557006,True,2671.736712856557,2725,completed,"[88, 89]","{88, 89}"
31,2670,2,428.58440823536,2753.07458329016,83.07458329015981,2.9345878970148185,129.47815413858962,True,2799.4781541385896,2823,completed,"[90, 91, 92, 93, 94]","{90, 91, 92, 93, 94}"
32,2820,3,8.7473710928,2828.7473710928,8.747371092800222,0.7980982429729729,9.545469335773305,True,2829.5454693357733,2916,completed,[95],{95}
33,2850,2,593.4426034475999,2972.90847050552,122.9084705055202,2.082538643912917,153.8779374220885,True,3003.8779374220885,3008,completed,"[96, 97, 98, 99, 100]","{96, 97, 98, 99, 100}"
34,3000,3,65.73437432344,3002.68724045312,2.687240453120012,2.233949802758621,64.58713602445778,True,3064.587136024458,3121,completed,"[101, 102]","{101, 102}"
35,3060,2,0,,0,0,,False,3189.38931472822,3231,rejected,"[103, 104, 105, 106]","{104, 105, 103}"
36,3180,3,86.16353821711999,3266.16353821712,86.16353821711982,0.2315235707837838,86.39506178790361,True,3266.3950617879036,3282,completed,[107],{107}
37,3210,3,0,,0,0,,False,,3323,rejected,[108],set()
38,3240,1,203.07796713384002,3333.98562401888,93.98562401888012,14.459906117639498,107.3259756775542,True,3347.325975677554,3385,completed,"[109, 110, 111]","{109, 110, 111}"
39,3330,2,503.8103817888,3358.26133063664,28.261330636640196,42.478896971482506,158.0722888819264,True,3488.0722888819264,3489,completed,"[112, 113, 114, 115, 116]","{112, 113, 114, 115, 116}"
40,3480,1,110.12078383784,3503.23552998128,23.235529981279797,44.063718744994794,69.5304401318599,True,3549.53044013186,3618,completed,"[117, 118, 119]","{117, 118, 119}"
41,3570,2,433.48337013128,3637.5484025136802,67.54840251368023,17.342850295168663,150.2988641434299,True,3720.29886414343,3722,completed,"[120, 121, 122, 123, 124]","{120, 121, 122, 123, 124}"
42,3720,3,79.28100778016001,3799.28100778016,79.28100778016005,1.1025477920689655,80.38355557222894,True,3800.383555572229,3826,completed,[125],{125}
43,3750,1,277.57410163096,3772.32156659576,22.321566595760032,21.043467898860246,135.34327089017324,True,3885.3432708901732,3899,completed,"[126, 127, 128]","{128, 126, 127}"
44,3840,1,138.36176092504002,3901.28472956168,61.2847295616798,35.46134510507837,111.23573288154194,True,3951.235732881542,3972,completed,"[129, 130]","{129, 130}"
45,3900,3,72.3205789088,3972.3205789088,72.32057890880014,0.21973912754054054,72.54031803634052,True,3972.5403180363405,4000,completed,[131],{131}
46,3930,3,0,,0,0,,False,,4048,rejected,[132],set()
47,3960,1,344.36910932008,3973.0910458496,13.09104584960005,9.677584238074733,176.0951197944596,True,4136.09511979446,4141,completed,"[133, 134, 135, 136, 137]","{133, 134, 135, 136, 137}"
48,4110,1,0,,0,0,,False,4234.911792213908,4250,rejected,"[138, 139]",{139}
49,4170,1,455.29569158263996,4324.68189232,154.68189231999986,2.3599194902681377,159.93900358372412,True,4329.939003583724,4353,completed,"[140, 141, 142, 143]","{140, 141, 142, 143}"
50,4290,2,482.08456132552,4330.92468706592,40.9246870659199,3.655135732369991,136.58359685758387,True,4426.583596857584,4449,completed,"[144, 145, 146, 147, 148]","{144, 145, 146, 147, 148}"
51,4440,1,251.27179352864,4499.41774912,59.417749119999826,1.3815011383167566,110.06536389853227,True,4550.065363898532,4594,completed,"[149, 150, 151]","{149, 150, 151}"
52,4530,2,383.59388339272,4569.03504430616,39.03504430615976,3.43096506028891,137.0026058521944,True,4667.002605852194,4682,completed,"[152, 153, 154, 155, 156]","{152, 153, 154, 155, 156}"
53,4680,2,0,,0,0,,False,4842.558910531042,4843,rejected,"[157, 158, 159, 160]","{157, 158}"
54,4800,2,577.50475810248,4906.510763648,106.51076364799974,11.954261347133938,138.73406355133466,True,4938.734063551335,4959,completed,"[161, 162, 163, 164, 165]","{161, 162, 163, 164, 165}"
55,4950,1,0,,0,0,,False,,5089,rejected,"[166, 167]",set()
56,5010,2,423.29947024015996,5035.17689238872,25.176892388720262,64.01581988064416,158.58386379200783,True,5168.583863792008,5183,completed,"[168, 169, 170, 171]","{168, 169, 170, 171}"
57,5130,3,141.24773401232002,5175.225569664,45.22556966400043,0.31451903842108114,96.28973028540076,True,5226.289730285401,5251,completed,"[172, 173]","{172, 173}"
58,5190,3,154.88132637784003,5286.99420417536,96.99420417536021,0.6397334174697111,97.63585359282933,True,5287.635853592829,5313,completed,"[174, 175]","{174, 175}"
59,5250,1,0,,0,0,,False,5400.395231940857,5402,rejected,"[176, 177, 178, 179, 180]","{176, 177, 180}"
60,5400,3,185.9168645524,5509.9898921072,109.98989210719992,2.699544115847666,112.69203142304741,True,5512.692031423047,5527,completed,"[181, 182]","{181, 182}"
61,5460,2,0,,0,0,,False,5544.511376036014,5619,rejected,"[183, 184, 185, 186, 187]","{186, 187, 183}"
62,5610,1,379.98779514352003,5731.74866151152,121.74866151152037,0.6256727785572973,159.23006937720038,True,5769.2300693772,5773,completed,"[188, 189, 190]","{188, 189, 190}"
63,5700,3,79.84884252464,5779.84884252464,79.84884252463962,0.5235304148275862,80.37237293946691,True,5780.372372939467,5802,completed,[191],{191}
64,5730,1,0,,0,0,,False,,5885,rejected,"[192, 193, 194]",set()
65,5820,1,0,,0,0,,False,5973.682291653238,6003,rejected,"[195, 196, 197, 198]","{195, 196, 197}"
66,5940,3,0,,0,0,,False,,6052,rejected,[199],set()
67,5970,3,146.4208743688,6042.2136215024,72.2136215024002,1.3429780834482759,74.61464095812426,True,6044.614640958124,6095,completed,"[200, 201]","{200, 201}"
68,6030,2,400.73034538088,6127.4712071324,97.4712071324002,4.688035056020503,132.27855233211358,True,6162.278552332114,6183,completed,"[202, 203, 204, 205]","{202, 203, 204, 205}"
69,6150,3,0,,0,0,,False,,6274,rejected,"[206, 207]",set()
70,6210,1,248.11126616128,6214.2935744288,4.2935744287997295,19.281784248728087,122.18685767821808,True,6332.186857678218,6374,completed,"[208, 209, 210, 211, 212]","{208, 209, 210, 211, 212}"
