task_id,microservice_id,instructions,bytes,dependencies,storage_req,status,arrival_time,start_time,latency,wait_time,service_time,response_time,spin_up_delay,end_time,deadline,assigned_resource,nearest_resource,resource_IPT,resource_storage
50,147,373.0671299,828.5468241,"145,146,144",40.78105292,completed,4290,4426.454953019687,133.24132931527998,3.2136237044073255,0.12864383789655173,269.82492617286425,4426.454953019687,4426.583596857584,4449,Edge_cloud(1),Edge_cloud(2),2900,64
50,148,4567.466457,711.923587,,41.64126137,completed,4290,4404.4883127896,114.4883127896,5.684341886080802e-14,1.2344503937837839,230.21107597298396,0.0,4405.722763183384,4449,Edge_cloud(3),Edge_cloud(2),3700,64
51,149,3540.204578,185.399216,,40.29536968,completed,4440,4499.41774912,59.417749119999996,0,0.07080409155999999,118.90630233155935,0.0,4499.4885532115595,4594,CentralCloud(4),Edge_cloud(3),50000,1000000
51,150,2586.209849,512.3719025,149,36.61411341,completed,4440,4522.400401922,82.40040192200001,1.1368683772161603e-13,0.6989756348648648,165.4997794788651,4499.753353211559,4523.099377556865,4594,Edge_cloud(3),Edge_cloud(3),3700,64
51,151,2263.369224,680.6134483,150,39.87232947,completed,4440,4549.45364248664,109.45364248663999,9.947598300641403e-14,0.6117214118918919,219.51900638517236,4523.099377556865,4550.065363898532,4594,Edge_cloud(3),Edge_cloud(3),3700,64
52,152,740.295889,242.6868427,,33.87813472,completed,4530,4569.03504430616,39.035044306159996,0,0.2552744444827586,78.32536305680242,0.0,4569.290318750643,4682,Edge_cloud(1),Edge_cloud(1),2900,64
52,153,1525.897009,832.3816254,152,33.8218336,completed,4530,4663.85796536432,133.85796536432,8.526512829121202e-14,0.41240459702702703,268.12833532566674,4569.292601950643,4664.270369961347,4682,Edge_cloud(3),Edge_cloud(1),3700,64
52,154,4357.899615,549.379381,"152,153",33.70072808,completed,4530,4664.272922761346,88.3512044648,45.9217182965463,1.5027240051724138,224.12685123131814,4664.272922761346,4665.775646766519,4682,Edge_cloud(1),Edge_cloud(1),2900,64
52,155,4531.818777,173.5896299,"152,154",26.18809669,completed,4530,4665.777789966519,27.924212487920002,107.85357747859887,1.224815885675676,164.92681834011455,4665.777789966519,4667.002605852194,4682,Edge_cloud(3),Edge_cloud(1),3700,64
52,156,103.663771,587.1545819,"153,154,152",18.80401444,completed,4530,4665.775646766519,94.42545676952001,41.35018999699854,0.03574612793103448,230.23684966396922,4665.775646766519,4665.811392894449,4682,Edge_cloud(1),Edge_cloud(1),2900,64
53,157,3011.268318,999.7166661,,36.77956804,completed,4680,4840.76543990888,160.76543990887998,0,0.8138563021621621,322.34473611992144,0.0,4841.579296211042,4843,Edge_cloud(3),Edge_cloud(1),3700,64
53,158,3624.572984,159.0162767,157,15.63365467,completed,4680,4841.579296211042,25.58081729336,135.99847891768178,0.9796143199999999,188.13972782440214,4841.579296211042,4842.558910531042,4843,Edge_cloud(3),Edge_cloud(1),3700,64
53,159,3131.860214,818.5893608,"157,158",27.60220444,rejected,4680,,0,0,0,0,0,,4843,,Edge_cloud(1),,
53,160,500.2308478,215.2359132,"159,158,157",22.23442539,rejected,4680,,0,0,0,0,0,,4843,,Edge_cloud(1),,
54,161,1166.852004,784.5644462,,14.55449158,completed,4800,4926.16896294896,126.16896294896,1.4210854715202004e-13,10.607745490909092,262.9456713888294,0.0,4936.776708439869,4959,Edge_cloud(0),Edge_cloud(3),110,64
54,162,1326.66731,737.2321439,161,48.7598061,completed,4800,4936.77862123987,118.55792873912002,18.220692500749593,0.35855873243243247,255.6951087114221,4936.77862123987,4937.137179972302,4959,Edge_cloud(3),Edge_cloud(3),3700,64
54,163,4175.450693,307.4844917,"162,161",13.67883061,completed,4800,4937.433659972302,98.48503734399998,38.94862262830196,0.08350901386,236.00220633016215,4937.433659972302,4937.517168986162,4959,CentralCloud(4),Edge_cloud(3),50000,1000000
