episode,avg_latency,avg_response_time,total_reward,task_reject_rate,task_accept_rate,microservice_reject_rate,microservice_accept_rate
44,76.88594438759905,167.9930102517875,119183.33,0.63,0.37,0.39158576051779936,0.6084142394822006
45,78.66497035210209,170.96385827392865,104891.268,0.69,0.31,0.4045307443365696,0.5954692556634305
46,80.39238736495045,177.32394229234959,136810.33,0.63,0.37,0.34627831715210355,0.6537216828478964
47,75.1987395512598,165.9301287149373,117782.479,0.67,0.33,0.4077669902912621,0.5922330097087378
48,81.45224540822372,180.96686774009652,130787.113,0.7,0.3,0.3656957928802589,0.6343042071197411
49,79.26867293358279,173.31036174938458,125089.762,0.67,0.33,0.37540453074433655,0.6245954692556634
50,76.19276033446125,167.30922450515095,129120.859,0.63,0.37,0.3592233009708738,0.6407766990291263
51,79.11751941044483,175.54669566662497,149865.744,0.61,0.39,0.34627831715210355,0.6537216828478964
52,79.9427423071426,176.88183356356993,128543.887,0.65,0.35,0.35275080906148865,0.6472491909385113
53,77.45594972424365,169.37796034406537,156607.32,0.6,0.4,0.3333333333333333,0.6666666666666666
54,77.46066376375418,170.7706555759687,130308.406,0.67,0.33,0.37216828478964403,0.627831715210356
55,77.12868330930355,170.12512715515965,144045.071,0.61,0.39,0.3656957928802589,0.6343042071197411
56,81.02575047698039,177.95897954455455,151303.102,0.52,0.48,0.2977346278317152,0.7022653721682848
57,78.70117726351792,174.95504858654323,137730.942,0.65,0.35,0.39158576051779936,0.6084142394822006
58,78.09325403218277,173.7767418259363,143296.501,0.65,0.35,0.34951456310679613,0.6504854368932039
59,78.00058340047262,172.46634099116852,137001.146,0.61,0.39,0.32362459546925565,0.6763754045307443
60,82.48541702757927,180.2467772600581,139745.288,0.57,0.43,0.3106796116504854,0.6893203883495146
61,78.7649230082433,175.31409279163307,133425.896,0.64,0.36,0.34951456310679613,0.6504854368932039
62,78.45618815824852,173.91356297052675,148658.924,0.65,0.35,0.3559870550161812,0.6440129449838188
63,78.03590490097976,172.807363851391,150622.725,0.56,0.44,0.3333333333333333,0.6666666666666666
64,79.13330102515197,174.83031317935703,162669.177,0.59,0.41,0.31715210355987056,0.6828478964401294
